date,open,high,low,close,volume
2025-07-01,97.6,99.19,97.42,98.24,15635847.0
2025-07-02,98.12,98.38,97.06,97.61,12501965.0
2025-07-03,97.7,98.48,97.42,98.36,7686204.0
2025-07-07,98.23,99.35,97.62,99.35,12930913.0
2025-07-08,98.82,99.17,96.51,97.09,16874954.0
2025-07-09,97.15,97.29,96.38,96.81,13702615.0
2025-07-10,96.66,96.78,94.74,94.86,18894787.0
2025-07-11,95.0,95.53,94.23,94.4,14595047.0
2025-07-14,94.51,95.84,94.38,95.78,13779084.0
2025-07-15,95.6,95.78,94.94,95.39,10450759.0
2025-07-16,95.42,95.83,94.6,95.15,11181552.0
2025-07-17,95.08,95.63,94.89,95.09,11165126.0
2025-07-18,95.08,95.48,94.43,95.05,14636294.0
2025-07-21,95.26,96.64,95.1,95.67,13450359.0
2025-07-22,95.84,96.67,95.74,95.85,9049130.0
2025-07-23,96.01,96.29,95.29,95.68,9729672.0
2025-07-24,95.57,96.96,95.35,96.6,14991517.0
2025-07-25,96.84,97.65,96.53,97.47,12868466.0
2025-07-28,97.28,98.12,97.08,97.61,12293060.0
2025-07-29,97.78,98.72,97.34,98.33,14034265.0
2025-07-30,98.61,98.88,97.29,97.59,13864096.0
2025-07-31,97.44,98.63,97.31,97.98,15651348.0
2025-08-01,98.0,98.83,97.67,98.49,16750407.0
2025-08-04,98.2,99.91,98.2,99.59,19050206.0
2025-08-05,99.67,100.47,98.91,99.31,17977008.0
2025-08-06,99.46,103.68,99.46,103.36,23738420.0
2025-08-07,103.46,103.9,102.11,103.12,12509479.0
2025-08-08,103.37,104.72,103.15,103.73,12394722.0
2025-08-11,103.9,104.33,103.11,103.93,12856706.0
2025-08-12,104.25,104.31,103.37,103.62,17919327.0
2025-08-13,102.15,102.8,100.85,100.99,19398499.0
2025-08-14,101.22,101.44,100.72,100.85,10858447.0
2025-08-15,100.63,100.77,99.54,100.0,13604944.0
2025-08-18,100.0,100.88,99.92,100.7,11656135.0
2025-08-19,100.96,102.43,100.8,101.29,16999004.0
2025-08-20,101.15,102.65,100.93,102.57,18655026.0
